ko;cpd;referenceAG;compoundclass;compoundname;genesymbol;genename;enzyme_activity
K00001;C00038;EPA;Metal;Zinc cation;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C00038;ATSDR;Metal;Zinc cation;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C06696;ATSDR;Metal;Lead;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C06696;WFD;Metal;Lead;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C06696;EPC;Metal;Lead;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C06696;EPA;Metal;Lead;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C06696;IARC2A;Metal;Lead;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C06747;PSL;Sulfur-containing;Phenylmethanesulfonyl fluoride;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C06747;PSL;Aromatic;Phenylmethanesulfonyl fluoride;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C11344;PSL;Aliphatic;Methyl tert-butyl ether;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C13377;ATSDR;Metal;Mercuric chloride;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C13377;WFD;Metal;Mercuric chloride;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C13377;ATSDR;Chlorinated;Mercuric chloride;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C13377;WFD;Chlorinated;Mercuric chloride;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C14440;ATSDR;Aliphatic;1,4-Dioxane;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C14440;IARC2B;Aliphatic;1,4-Dioxane;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C14687;PSL;Aliphatic;2-Ethoxyethanol;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C19263;IARC2B;Aliphatic;Methyl isobutyl ketone;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C19302;IARC2B;Nitrogen-containing;Thioacetamide;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C19302;IARC2B;Sulfur-containing;Thioacetamide;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C19302;IARC2B;Aliphatic;Thioacetamide;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00002;C00038;ATSDR;Metal;Zinc cation;AKR1A1;alcohol dehydrogenase (NADP+);dehydrogenase
K00002;C00038;EPA;Metal;Zinc cation;AKR1A1;alcohol dehydrogenase (NADP+);dehydrogenase
K00002;C07434;IARC2B;Aromatic;Phenobarbital;AKR1A1;alcohol dehydrogenase (NADP+);dehydrogenase
K00002;C07434;IARC2B;Nitrogen-containing;Phenobarbital;AKR1A1;alcohol dehydrogenase (NADP+);dehydrogenase
K00002;C07443;IARC2B;Polyaromatic;Phenytoin;AKR1A1;alcohol dehydrogenase (NADP+);dehydrogenase
K00002;C07443;IARC2B;Nitrogen-containing;Phenytoin;AKR1A1;alcohol dehydrogenase (NADP+);dehydrogenase
K00002;C08142;PSL;Inorganic;Sodium fluoride;AKR1A1;alcohol dehydrogenase (NADP+);dehydrogenase
K00002;C19249;IARC2B;Aliphatic;2,4-Hexadienal;AKR1A1;alcohol dehydrogenase (NADP+);dehydrogenase
K00004;C00038;ATSDR;Metal;Zinc cation;BDH;(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase;dehydrogenase
