target_class,model_version,guild_id,selected,member_count,members,compound_count,compounds
Aliphatic,strict_metal,Aliphatic_STRICT_G01,True,1,BD127,43,"1,1,2-Trichloroethane;1,2,3-Trichloropropane;1,2-Dichloroethane;1,3-Dichloro-2-propanol;1,4-Dioxane;2-Ethoxyethanol;2-Nitropropane;3-Carboxy-cis,cis-muconate;3-Chloro-2-methylpropene;4-Methylimidazole;Acetaldehyde;Acetamide;Acrylamide;Acrylonitrile;BHC;Bis(2-chloroethyl)ether;Chloral hydrate;Chloroform;Cyclohexyl isocyanide;Digoxin;Epichlorohydrin;Ethanol;Ethyl acrylate;Ethyl methanesulfonate;Formaldehyde;Glycidaldehyde;Methane;Methyl bromide;Methyl chloride;Methyl isobutyl ketone;Methylnitrosourea;Streptozocin;Thioacetamide;Thiouracil;Trichloroethene;Vinyl acetate;Vinyl fluoride;alpha-Chlorohydrin;alpha-Hexachlorocyclohexane;beta-1,2,3,4,5,6-Hexachlorocyclohexane;beta-Butyrolactone;cis-1,3-Dichloropropene;trans-1,3-Dichloropropene"
Aliphatic,strict_metal,Aliphatic_STRICT_G02,True,1,BD163,43,"1,1,2,2-Tetrachloroethane;1,1,2-Trichloroethane;1,2,3-Trichloropropane;1,2-Dichloroethane;1,3-Dichloro-2-propanol;1,4-Dioxane;2-Ethoxyethanol;2-Nitropropane;3-Chloro-2-methylpropene;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;4-Methylimidazole;Acetaldehyde;Acetamide;Acrylamide;Aziridine;Bis(2-chloroethyl)ether;Chloral;Chloral hydrate;Chloroform;Digoxin;Epichlorohydrin;Ethanol;Ethyl acrylate;Ethyl methanesulfonate;Formaldehyde;Glu-P-1;Glycidaldehyde;Methyl bromide;Methyl chloride;Methyl isobutyl ketone;Methyl tert-butyl ether;Methylnitrosourea;Propylthiouracil;Streptozocin;Thioacetamide;Thiouracil;Trichloroethene;Vinyl acetate;alpha-Chlorohydrin;alpha-Hexachlorocyclohexane;beta-1,2,3,4,5,6-Hexachlorocyclohexane;cis-1,3-Dichloropropene;trans-1,3-Dichloropropene"
Aliphatic,strict_metal,Aliphatic_STRICT_G03,False,3,BD132;BD160;BD50,41,"1,1,2,2-Tetrachloroethane;1,1,2-Trichloroethane;1,2,3-Trichloropropane;1,2-Dichloroethane;1,4-Dioxane;2-Ethoxyethanol;2-Nitropropane;3-Chloro-2-methylpropene;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;4-Methylimidazole;Acetaldehyde;Acetamide;Acrylamide;Aziridine;Bis(2-chloroethyl)ether;Chloral;Chloral hydrate;Chloroform;Epichlorohydrin;Ethanol;Ethyl acrylate;Ethyl methanesulfonate;Formaldehyde;Glu-P-1;Glycidaldehyde;Methyl bromide;Methyl chloride;Methyl isobutyl ketone;Methyl tert-butyl ether;Methylnitrosourea;Propylthiouracil;Streptozocin;Thioacetamide;Thiouracil;Trichloroethene;Vinyl acetate;alpha-Chlorohydrin;alpha-Hexachlorocyclohexane;beta-1,2,3,4,5,6-Hexachlorocyclohexane;cis-1,3-Dichloropropene;trans-1,3-Dichloropropene"
Aliphatic,strict_metal,Aliphatic_STRICT_G04,False,2,BD120;BD126,39,"1,1,2,2-Tetrachloroethane;1,1,2-Trichloroethane;1,2,3-Trichloropropane;1,2-Dichloroethane;1,4-Dioxane;2-Ethoxyethanol;2-Nitropropane;3-Chloro-2-methylpropene;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;4-Methylimidazole;Acetaldehyde;Aziridine;Bis(2-chloroethyl)ether;Chloral;Chloral hydrate;Chloroform;Digoxin;Epichlorohydrin;Ethanol;Ethyl methanesulfonate;Formaldehyde;Glu-P-1;Glycidaldehyde;Methyl bromide;Methyl chloride;Methyl isobutyl ketone;Methyl tert-butyl ether;Methylnitrosourea;Propylthiouracil;Streptozocin;Thioacetamide;Thiouracil;Trichloroethene;Vinyl acetate;alpha-Chlorohydrin;alpha-Hexachlorocyclohexane;beta-1,2,3,4,5,6-Hexachlorocyclohexane;cis-1,3-Dichloropropene;trans-1,3-Dichloropropene"
Aliphatic,strict_metal,Aliphatic_STRICT_G05,True,3,BD48;BD54;E7,34,"1,1,1-Trichloroethane;1,1,2,2-Tetrachloroethane;1,1-Dimethylhydrazine;1,2-Epoxybutane;1,4-Dioxane;2-Ethoxyethanol;2-Nitropropane;3-Carboxy-cis,cis-muconate;4-Methylimidazole;Acetaldehyde;Acetamide;Acrylamide;Aziridine;Chloral hydrate;Chloroform;Epichlorohydrin;Ethanol;Ethyl acrylate;Ethyl methanesulfonate;Ethylene glycol;Formaldehyde;Glycidaldehyde;Methane;Methyl bromide;Methyl chloride;Methyl isobutyl ketone;Methyl tert-butyl ether;Methylnitrosourea;Streptozocin;Thioacetamide;Thiouracil;Trichloroethene;Vinyl acetate;alpha-Chlorohydrin"
Aliphatic,strict_metal,Aliphatic_STRICT_G06,False,1,BD61,31,"1,1,2,2-Tetrachloroethane;1,1-Dimethylhydrazine;1,4-Dioxane;2-Ethoxyethanol;2-Nitropropane;3-Carboxy-cis,cis-muconate;4-Methylimidazole;Acetaldehyde;Acetamide;Acrylamide;Aziridine;BHC;Chloral hydrate;Digoxin;Epichlorohydrin;Ethanol;Ethyl acrylate;Ethyl methanesulfonate;Formaldehyde;Glycidaldehyde;Methane;Methyl bromide;Methyl isobutyl ketone;Methyl tert-butyl ether;Streptozocin;Thioacetamide;Thiouracil;Trichloroethene;Vinyl fluoride;alpha-Chlorohydrin;beta-Butyrolactone"
Aliphatic,strict_metal,Aliphatic_STRICT_G07,False,1,BD158,30,"1,1,2,2-Tetrachloroethane;1,1-Dimethylhydrazine;1,4-Dioxane;2-Ethoxyethanol;2-Nitropropane;3-Carboxy-cis,cis-muconate;4-Methylimidazole;Acetaldehyde;Acetamide;Acrylamide;BHC;Chloral hydrate;Digoxin;Epichlorohydrin;Ethanol;Ethyl acrylate;Ethyl methanesulfonate;Formaldehyde;Glycidaldehyde;Methyl bromide;Methyl isobutyl ketone;Methyl tert-butyl ether;Methylnitrosourea;Streptozocin;Thioacetamide;Thiouracil;Trichloroethene;Vinyl fluoride;alpha-Chlorohydrin;beta-Butyrolactone"
Aliphatic,strict_metal,Aliphatic_STRICT_G08,False,3,BD162;BD9;BG1,30,"1,1,2,2-Tetrachloroethane;1,3-Dichloro-2-propanol;1,4-Dioxane;2-Ethoxyethanol;2-Nitropropane;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;4-Methylimidazole;Acetaldehyde;Acetone;Aziridine;Chloral;Chloral hydrate;Digoxin;Epichlorohydrin;Ethanol;Ethyl methanesulfonate;Formaldehyde;Glu-P-1;Glycidaldehyde;Methyl bromide;Methyl isobutyl ketone;Methyl tert-butyl ether;Methylnitrosourea;Propylthiouracil;Streptozocin;Thioacetamide;Thiouracil;Trichloroethene;Vinyl acetate;alpha-Chlorohydrin"
Aliphatic,strict_metal,Aliphatic_STRICT_G09,True,1,BD117,27,"1,4-Dioxane;2-Ethoxyethanol;2-Nitropropane;4-Methylimidazole;Acetaldehyde;Acetamide;Acetone;Acrylamide;Aziridine;Chloral hydrate;Epichlorohydrin;Ethanol;Ethyl acrylate;Ethyl methanesulfonate;Ethylene oxide;Formaldehyde;Glycidaldehyde;Methane;Methyl bromide;Methyl isobutyl ketone;Methyl tert-butyl ether;Methylnitrosourea;Streptozocin;Thioacetamide;Thiouracil;Vinyl acetate;alpha-Chlorohydrin"
Aliphatic,strict_metal,Aliphatic_STRICT_G10,False,1,BD139,26,"1,4-Dioxane;2-Ethoxyethanol;2-Nitropropane;4-Methylimidazole;Acetaldehyde;Acetamide;Acrylamide;Aziridine;Chloral hydrate;Digoxin;Epichlorohydrin;Ethanol;Ethyl acrylate;Ethyl methanesulfonate;Formaldehyde;Glu-P-1;Glycidaldehyde;Methyl bromide;Methyl isobutyl ketone;Methyl tert-butyl ether;Methylnitrosourea;Streptozocin;Thioacetamide;Thiouracil;Vinyl acetate;alpha-Chlorohydrin"
