target_class,model_version,compound_name,covered_by_selected,covering_selected_samples
Aliphatic,strict_metal,"1,1,1-Trichloroethane",True,E7
Aliphatic,strict_metal,"1,1,2,2-Tetrachloroethane",True,BD163;E7
Aliphatic,strict_metal,"1,1,2-Trichloroethane",True,BD127;BD163
Aliphatic,strict_metal,"1,1-Dimethylhydrazine",True,E7
Aliphatic,strict_metal,"1,2,3-Trichloropropane",True,BD127;BD163
Aliphatic,strict_metal,"1,2-Dichloroethane",True,BD127;BD163
Aliphatic,strict_metal,"1,2-Epoxybutane",True,E7
Aliphatic,strict_metal,"1,3-Dichloro-2-propanol",True,BD127;BD163
Aliphatic,strict_metal,"1,4-Dioxane",True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,"2,4-Hexadienal",False,
Aliphatic,strict_metal,2-Ethoxyethanol,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,2-Nitropropane,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,"3-Carboxy-cis,cis-muconate",True,BD127;E7
Aliphatic,strict_metal,3-Chloro-2-methylpropene,True,BD127;BD163
Aliphatic,strict_metal,4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone,True,BD163
Aliphatic,strict_metal,4-Methylimidazole,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Acetaldehyde,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Acetamide,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Acetone,True,BD117
Aliphatic,strict_metal,Acrylamide,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Acrylonitrile,True,BD127
Aliphatic,strict_metal,Aziridine,True,BD117;BD163;E7
Aliphatic,strict_metal,BHC,True,BD127
Aliphatic,strict_metal,Bis(2-chloroethyl)ether,True,BD127;BD163
Aliphatic,strict_metal,Chloral,True,BD163
Aliphatic,strict_metal,Chloral hydrate,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Chloroform,True,BD127;BD163;E7
Aliphatic,strict_metal,Cyclohexyl isocyanide,True,BD127
Aliphatic,strict_metal,Digoxin,True,BD127;BD163
Aliphatic,strict_metal,Epichlorohydrin,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Ethanol,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Ethyl acrylate,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Ethyl methanesulfonate,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Ethylene glycol,True,E7
Aliphatic,strict_metal,Ethylene oxide,True,BD117
Aliphatic,strict_metal,Formaldehyde,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Glu-P-1,True,BD163
Aliphatic,strict_metal,Glycidaldehyde,True,BD117;BD127;BD163;E7
Aliphatic,strict_metal,Methane,True,BD117;BD127;E7
Aliphatic,strict_metal,Methyl bromide,True,BD117;BD127;BD163;E7
