target_class,model_version,selection_order,role,guild_id,representative_sample,guild_members,metal_authority,metal_group_from_image,raw_uc81_metal,raw_uc81_metal_groups,taxon,newly_covered_compounds_count,guild_compounds_count,covered_compounds_after_selection,class_total_compounds,class_coverage_after_selection_pct,target_dcpip_metric,target_dcpip_mean,PL_mean,PP_mean,overall_mean,class_ko_completeness_pct,class_compound_coverage_pct,unique_ko_count,hadeg_pathway_count,kegg_pathname_count,tox_high_toxicity_compounds,newly_covered_compounds,reason
Aliphatic,strict_metal,1,strict_metal_guild,Aliphatic_STRICT_G02,BD163,BD163,True,Metal_Group_12,True,Group 25,Bacillus megaterium,43,43,43,59,72.881356,PL_mean,64.050833,64.050833,63.431667,63.74125,41.830065,72.881356,2132,40,15,143,"1,1,2,2-Tetrachloroethane;1,1,2-Trichloroethane;1,2,3-Trichloropropane;1,2-Dichloroethane;1,3-Dichloro-2-propanol;1,4-Dioxane;2-Ethoxyethanol;2-Nitropropane;3-Chloro-2-methylpropene;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;4-Methylimidazole;Acetaldehyde;Acetamide;Acrylamide;Aziridine;Bis(2-chloroethyl)ether;Chloral;Chloral hydrate;Chloroform;Digoxin;Epichlorohydrin;Ethanol;Ethyl acrylate;Ethyl methanesulfonate;Formaldehyde;Glu-P-1;Glycidaldehyde;Methyl bromide;Methyl chloride;Methyl isobutyl ketone;Methyl tert-butyl ether;Methylnitrosourea;Propylthiouracil;Streptozocin;Thioacetamide;Thiouracil;Trichloroethene;Vinyl acetate;alpha-Chlorohydrin;alpha-Hexachlorocyclohexane;beta-1,2,3,4,5,6-Hexachlorocyclohexane;cis-1,3-Dichloropropene;trans-1,3-Dichloropropene",covers 43 new Aliphatic compounds; PL_mean=64.05; class_KO_completeness=41.83%; allowed by official Metal image universe
Aliphatic,strict_metal,2,strict_metal_guild,Aliphatic_STRICT_G01,BD127,BD127,True,Metal_Group_4,False,,Achromobacter,7,43,50,59,84.745763,PL_mean,59.206667,59.206667,22.225833,40.71625,36.601307,72.881356,2136,50,17,139,"3-Carboxy-cis,cis-muconate;Acrylonitrile;BHC;Cyclohexyl isocyanide;Methane;Vinyl fluoride;beta-Butyrolactone",covers 7 new Aliphatic compounds; PL_mean=59.21; class_KO_completeness=36.60%; allowed by official Metal image universe
Aliphatic,strict_metal,3,strict_metal_guild,Aliphatic_STRICT_G05,E7,BD48;BD54;E7,True,Metal_Group_1,True,Group 1,Acinetobacter,4,34,54,59,91.525424,PL_mean,82.906667,82.906667,56.771667,69.839167,39.215686,57.627119,1858,55,17,126,"1,1,1-Trichloroethane;1,1-Dimethylhydrazine;1,2-Epoxybutane;Ethylene glycol",covers 4 new Aliphatic compounds; PL_mean=82.91; class_KO_completeness=39.22%; allowed by official Metal image universe
Aliphatic,strict_metal,4,strict_metal_guild,Aliphatic_STRICT_G09,BD117,BD117,True,Metal_Group_9,True,Group 16,Micococcus luteus,2,27,56,59,94.915254,PL_mean,79.18,79.18,76.653333,77.916667,25.490196,45.762712,1188,44,15,102,Acetone;Ethylene oxide,covers 2 new Aliphatic compounds; PL_mean=79.18; class_KO_completeness=25.49%; allowed by official Metal image universe
Aliphatic,relaxed,1,strict_metal_seed,Aliphatic_STRICT_G02,BD163,BD163,True,Metal_Group_12,True,Group 25,Bacillus megaterium,43,43,43,59,72.881356,PL_mean,64.050833,64.050833,63.431667,63.74125,41.830065,72.881356,2132,40,15,143,"1,1,2,2-Tetrachloroethane;1,1,2-Trichloroethane;1,2,3-Trichloropropane;1,2-Dichloroethane;1,3-Dichloro-2-propanol;1,4-Dioxane;2-Ethoxyethanol;2-Nitropropane;3-Chloro-2-methylpropene;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;4-Methylimidazole;Acetaldehyde;Acetamide;Acrylamide;Aziridine;Bis(2-chloroethyl)ether;Chloral;Chloral hydrate;Chloroform;Digoxin;Epichlorohydrin;Ethanol;Ethyl acrylate;Ethyl methanesulfonate;Formaldehyde;Glu-P-1;Glycidaldehyde;Methyl bromide;Methyl chloride;Methyl isobutyl ketone;Methyl tert-butyl ether;Methylnitrosourea;Propylthiouracil;Streptozocin;Thioacetamide;Thiouracil;Trichloroethene;Vinyl acetate;alpha-Chlorohydrin;alpha-Hexachlorocyclohexane;beta-1,2,3,4,5,6-Hexachlorocyclohexane;cis-1,3-Dichloropropene;trans-1,3-Dichloropropene",covers 43 new Aliphatic compounds; PL_mean=64.05; class_KO_completeness=41.83%
Aliphatic,relaxed,2,strict_metal_seed,Aliphatic_STRICT_G01,BD127,BD127,True,Metal_Group_4,False,,Achromobacter,7,43,50,59,84.745763,PL_mean,59.206667,59.206667,22.225833,40.71625,36.601307,72.881356,2136,50,17,139,"3-Carboxy-cis,cis-muconate;Acrylonitrile;BHC;Cyclohexyl isocyanide;Methane;Vinyl fluoride;beta-Butyrolactone",covers 7 new Aliphatic compounds; PL_mean=59.21; class_KO_completeness=36.60%
Aliphatic,relaxed,3,strict_metal_seed,Aliphatic_STRICT_G05,E7,BD48;BD54;E7,True,Metal_Group_1,True,Group 1,Acinetobacter,4,34,54,59,91.525424,PL_mean,82.906667,82.906667,56.771667,69.839167,39.215686,57.627119,1858,55,17,126,"1,1,1-Trichloroethane;1,1-Dimethylhydrazine;1,2-Epoxybutane;Ethylene glycol",covers 4 new Aliphatic compounds; PL_mean=82.91; class_KO_completeness=39.22%
Aliphatic,relaxed,4,strict_metal_seed,Aliphatic_STRICT_G09,BD117,BD117,True,Metal_Group_9,True,Group 16,Micococcus luteus,2,27,56,59,94.915254,PL_mean,79.18,79.18,76.653333,77.916667,25.490196,45.762712,1188,44,15,102,Acetone;Ethylene oxide,covers 2 new Aliphatic compounds; PL_mean=79.18; class_KO_completeness=25.49%
Aliphatic,relaxed,5,relaxed_addition,Aliphatic_ALL_G02,BD145,BD145,False,,True,Group 19,Tistrella,1,43,57,59,96.610169,PL_mean,54.173333,54.173333,55.903333,55.038333,46.405229,72.881356,2042,54,19,139,"N,N-Dimethylformamide",covers 1 new Aliphatic compounds; PL_mean=54.17; class_KO_completeness=46.41%; outside official Metal image but present in raw UC 8.1 Metal CSV; added to close strict coverage gap
Aliphatic,relaxed,6,relaxed_addition,Aliphatic_ALL_G09,BD67,BD67,False,,True,Group 10,Ochrobactrum,1,33,58,59,98.305085,PL_mean,56.5,56.5,39.363333,47.931667,33.986928,55.932203,1903,35,15,120,N-Nitrosomorpholine,covers 1 new Aliphatic compounds; PL_mean=56.50; class_KO_completeness=33.99%; outside official Metal image but present in raw UC 8.1 Metal CSV; added to close strict coverage gap
Aliphatic,relaxed,7,relaxed_addition,Aliphatic_ALL_G16,CB13,CB13,False,,True,Group 26,Enterobacter,1,28,59,59,100.0,PL_mean,76.581667,76.581667,56.1,66.340833,38.562092,47.457627,2887,48,16,111,"2,4-Hexadienal",covers 1 new Aliphatic compounds; PL_mean=76.58; class_KO_completeness=38.56%; outside official Metal image but present in raw UC 8.1 Metal CSV; added to close strict coverage gap
