sample,taxon,source_label,dcpip_available,annotated_in_biorempp,annotated_in_ko_subset,metal_authority,metal_group_from_image,raw_uc81_metal,raw_uc81_metal_groups,unique_ko_count,PL1_mean,PL2_mean,PP1_mean,PP2_mean,PL_mean,PP_mean,overall_mean,dcpip_missing_values,Aliphatic_compounds_covered,Aliphatic_compound_coverage_pct,Aliphatic_kos_covered,Aliphatic_ko_completeness_pct,Polyaromatic_compounds_covered,Polyaromatic_compound_coverage_pct,Polyaromatic_kos_covered,Polyaromatic_ko_completeness_pct,biorempp_reference_count,enzyme_activity_count,hadeg_ko_count,hadeg_pathway_count,hadeg_compound_pathway_count,kegg_ko_count,kegg_pathname_count,tox_unique_compounds,tox_high_toxicity_compounds,tox_high_toxicity_endpoint_hits
AP1BH01-1,Ochrobactrum,AP1BH01-1 - Ochrobactrum,True,True,True,False,,True,Group 2,1980,63.393333,84.84,58.843333,45.233333,74.116667,52.038333,63.0775,0,31,52.542373,59,38.562092,29,65.909091,34,40.963855,9,75,55,46,5,43,18,128,127,454
BD1,Micococcus luteus,BD1 - Micococcus luteus,True,True,True,False,,False,,1342,73.906667,83.78,79.333333,77.913333,78.843333,78.623333,78.733333,0,26,44.067797,38,24.836601,17,38.636364,18,21.686747,9,64,33,42,5,22,13,88,87,287
BD101,Stutzerimonas balearica,BD101 - Stutzerimonas balearica,True,True,True,False,,False,,2195,49.48,66.916667,28.355,50.913333,58.198333,39.634167,48.91625,1,33,55.932203,51,33.333333,28,63.636364,45,54.216867,9,69,84,49,5,68,18,125,124,453
BD105,Stutzerimonas frequens,BD105 - Stutzerimonas frequens,True,True,True,False,,False,,2219,76.883333,87.196667,73.08,62.61,82.04,67.845,74.9425,0,33,55.932203,58,37.908497,30,68.181818,47,56.626506,9,72,71,48,5,55,18,122,121,440
BD106,Stutzerimonas frequens,BD106 - Stutzerimonas frequens,True,True,True,False,,False,,2217,32.54,55.44,31.846667,7.14,43.99,19.493333,31.741667,2,33,55.932203,58,37.908497,30,68.181818,47,56.626506,9,72,71,48,5,55,18,122,121,440
BD107,Stutzerimonas balearica,BD107 - Stutzerimonas balearica,True,True,True,False,,False,,2189,80.456667,84.873333,70.276667,77.95,82.665,74.113333,78.389167,1,33,55.932203,51,33.333333,28,63.636364,45,54.216867,9,70,75,49,5,58,18,122,121,437
BD108,Stutzerimonas balearica,BD108 - Stutzerimonas balearica,True,True,True,False,,False,,2191,50.806667,70.233333,31.846667,35.433333,60.52,33.64,47.08,0,33,55.932203,51,33.333333,28,63.636364,45,54.216867,9,70,75,49,5,58,18,122,121,437
BD117,Micococcus luteus,BD117 - Micococcus luteus,True,True,True,True,Metal_Group_9,True,Group 16,1188,77.76,80.6,74.603333,78.703333,79.18,76.653333,77.916667,0,27,45.762712,39,25.490196,17,38.636364,19,22.891566,9,58,37,44,5,24,15,102,102,349
BD120,Bacillus subtilis,BD120 - Bacillus subtilis,True,True,True,True,Metal_Group_4,False,,2146,82.126667,85.816667,85.713333,77.906667,83.971667,81.81,82.890833,0,39,66.101695,53,34.640523,27,61.363636,40,48.192771,9,78,56,43,5,31,15,141,140,524
BD121,Bacillus paralicheniformis,BD121 - Bacillus paralicheniformis,True,True,True,False,,False,,2116,42.393333,59.84,48.366667,18.02,51.116667,33.193333,42.155,1,31,52.542373,52,33.986928,28,63.636364,40,48.192771,9,75,56,40,5,32,14,133,132,484
BD126,Bacillus,BD126 - Bacillus,True,True,True,True,Metal_Group_4,False,,2146,57.196667,63.326667,63.73,14.366667,60.261667,39.048333,49.655,0,39,66.101695,53,34.640523,27,61.363636,40,48.192771,9,78,56,43,5,31,15,141,140,524
BD127,Achromobacter,BD127 - Achromobacter,True,True,True,True,Metal_Group_4,False,,2136,49.7,68.713333,28.326667,16.125,59.206667,22.225833,40.71625,1,43,72.881356,56,36.601307,28,63.636364,38,45.783133,9,79,81,50,5,71,17,140,139,507
BD129,Bacillus paralicheniformis,BD129 - Bacillus paralicheniformis,True,True,True,False,,False,,2116,69.52,72.163333,59.44,45.0,70.841667,52.22,61.530833,3,31,52.542373,52,33.986928,28,63.636364,40,48.192771,9,75,56,40,5,32,14,133,132,484
BD130,Bacillus licheniformis,BD130 - Bacillus licheniformis,True,False,False,False,,False,,0,59.78,69.503333,65.263333,30.66,64.641667,47.961667,56.301667,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
BD132,Bacillus safensis,BD132 - Bacillus safensis,True,True,True,True,Metal_Group_4,False,,1929,79.476667,85.293333,84.903333,78.413333,82.385,81.658333,82.021667,0,41,69.491525,48,31.372549,23,52.272727,33,39.759036,9,67,38,37,5,23,12,132,131,470
BD137,Brevibacillus brevis,BD137 - Brevibacillus brevis,True,True,True,False,,False,,2060,71.126667,79.03,68.37,32.526667,75.078333,50.448333,62.763333,0,26,44.067797,62,40.522876,22,50.0,34,40.963855,9,87,52,39,5,29,13,112,111,396
BD139,Brevibacillus brevis,BD139 - Brevibacillus brevis,True,True,True,True,Metal_Group_4,False,,2060,56.35,49.786667,76.81,36.53,53.068333,56.67,54.869167,0,26,44.067797,62,40.522876,22,50.0,34,40.963855,9,87,52,39,5,29,13,112,111,396
BD140,Brevibacillus brevis,BD140 - Brevibacillus brevis,True,True,True,False,,False,,2060,54.663333,63.823333,41.29,47.265,59.243333,44.2775,51.760417,2,26,44.067797,62,40.522876,22,50.0,34,40.963855,9,87,52,39,5,29,13,112,111,396
BD141,Brevibacillus brevis,BD141 - Brevibacillus brevis,True,True,True,False,,False,,2060,59.556667,58.686667,27.523333,35.366667,59.121667,31.445,45.283333,0,26,44.067797,62,40.522876,22,50.0,34,40.963855,9,87,52,39,5,29,13,112,111,396
