Sample,ko,cpd,compoundname,genesymbol,referenceAG,compoundclass,enzyme_activity
E7,K00128,C11906,Sodium arsenite,ALDH,ATSDR,Inorganic,dehydrogenase
E7,K00128,C11906,Sodium arsenite,ALDH,ATSDR,Metal,dehydrogenase
E7,K00128,C13884,Strontium cation,ALDH,ATSDR,Metal,dehydrogenase
E7,K00128,C00084,Acetaldehyde,ALDH,IARC1,Aliphatic,dehydrogenase
E7,K00128,C00084,Acetaldehyde,ALDH,IARC2B,Aliphatic,dehydrogenase
E7,K00128,C00084,Acetaldehyde,ALDH,PSL,Aliphatic,dehydrogenase
E7,K00249,C11146,Methylmercury chloride,ACADM,IARC2B,Organometallic,dehydrogenase
E7,K00249,C11146,Methylmercury chloride,ACADM,EPC,Organometallic,dehydrogenase
E7,K00249,C11146,Methylmercury chloride,ACADM,WFD,Organometallic,dehydrogenase
E7,K00249,C11146,Methylmercury chloride,ACADM,IARC2B,Chlorinated,dehydrogenase
E7,K00249,C11146,Methylmercury chloride,ACADM,EPC,Chlorinated,dehydrogenase
E7,K00249,C11146,Methylmercury chloride,ACADM,WFD,Chlorinated,dehydrogenase
E7,K00261,C00014,Ammonia,GLUD1_2,PSL,Nitrogen-containing,dehydrogenase
E7,K00261,C00014,Ammonia,GLUD1_2,ATSDR,Nitrogen-containing,dehydrogenase
E7,K00362,C16038,"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine",nirB,IARC2B,Nitrogen-containing,reductase
E7,K00362,C16038,"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine",nirB,IARC2B,Aromatic,reductase
E7,K00362,C00014,Ammonia,nirB,PSL,Nitrogen-containing,reductase
E7,K00362,C00014,Ammonia,nirB,ATSDR,Nitrogen-containing,reductase
E7,K00362,C00088,Nitrite,nirB,ATSDR,Nitrogen-containing,reductase
E7,K00362,C00088,Nitrite,nirB,ATSDR,Inorganic,reductase
E7,K01027,C07313,Streptozocin,OXCT,IARC2B,Nitrogen-containing,transferase
E7,K01027,C07313,Streptozocin,OXCT,IARC2B,Aliphatic,transferase
E7,K01028,C07313,Streptozocin,scoA,IARC2B,Nitrogen-containing,transferase
E7,K01028,C07313,Streptozocin,scoA,IARC2B,Aliphatic,transferase
