Sample,ko,Gene,Pathway,compound_pathway
E7,K00128,alkH_ald,A_Auxiliar_alkane_gene,Alkanes
E7,K00128,mpdC,B_2-methylpropene_degradation,Alkenes
E7,K00128,dpgC,C_Toluene_degradation,Aromatics
E7,K00128,mdlD,C_Toluene_degradation,Aromatics
E7,K00128,pchA,C_Toluene_degradation,Aromatics
E7,K00128,phdK,C_Phenanthrene_degradation,Aromatics
E7,K00128,praB,C_Protocatechuate_degradation,Aromatics
E7,K00128,pegC,D_PEG,Polymers
E7,K00362,alkT_rubB_rdxR,A_Terminal/biterminal_oxidation,Alkanes
E7,K00362,andAa,C_Anthranilate_degradation,Aromatics
E7,K00362,padAd1,C_Phthalate_degradation,Aromatics
E7,K01027,pcaI,C_Protocatechuate_degradation,Aromatics
E7,K01028,pcaI,C_Protocatechuate_degradation,Aromatics
E7,K01465,benC,C_Benzoate_degradation,Aromatics
E7,K01800,nagL,C_Gentisate_degradation,Aromatics
E7,K00481,pobA,C_Toluene_degradation,Aromatics
E7,K00799,isoI,B_Isoprene_degradation,Alkenes
E7,K05297,alkG_rubA_rdx,A_Terminal/biterminal_oxidation,Alkanes
E7,K05297,alkG_rubA1_rdx,A_Terminal/biterminal_oxidation,Alkanes
E7,K05297,alkG_rubA2_rdx,A_Terminal/biterminal_oxidation,Alkanes
E7,K05297,alkT_rubB_rdxR,A_Terminal/biterminal_oxidation,Alkanes
E7,K05784,prmB,A_Subterminal_oxidation,Alkanes
E7,K05784,isoF,B_Isoprene_degradation,Alkenes
E7,K05784,xamoF,B_Propene_degradation,Alkenes
E7,K05784,antC,C_Anthranilate_degradation,Aromatics
E7,K05784,benC,C_Benzoate_degradation,Aromatics
E7,K05784,xylZ,C_Benzoate_degradation,Aromatics
E7,K07782,rhlR,E_Rhamnolipids,Biosurfactant
E7,K00351,dmpP,C_Phenol_degradation,Aromatics
E7,K00351,tmoF,C_Toluene_degradation,Aromatics
E7,K00351,tomA5,C_Toluene_degradation,Aromatics
E7,K05710,isoC,B_Isoprene_degradation,Alkenes
E7,K05710,xamoC,B_Propene_degradation,Alkenes
E7,K05710,andAb,C_Anthranilate_degradation,Aromatics
E7,K05710,bedB,C_Benzene_degradation,Aromatics
E7,K05710,bphAc,C_Biphenyl_degradation,Aromatics
E7,K05710,doxA,C_Naphthalene_degradation,Aromatics
E7,K05710,doxA,C_Dibenzothiophene_degradation,Aromatics
E7,K05710,nagAb,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
E7,K05710,tmoC,C_Toluene_degradation,Aromatics
E7,K05710,todB,C_Toluene_degradation,Aromatics
E7,K01104,wzb,E_Emulsan,Biosurfactant
E7,K05599,antA,C_Anthranilate_degradation,Aromatics
E7,K05599,benA,C_Benzoate_degradation,Aromatics
E7,K00019,hbd,D_PHBV,Polymers
E7,K00019,hbd,D_PHA,Polymers
E7,K00019,hbd,D_P3HV,Polymers
E7,K00097,tphB,C_Terephthalate_degradation,Aromatics
E7,K00104,pchF,C_Toluene_degradation,Aromatics
E7,K00108,alkJ_adh,A_Auxiliar_alkane_gene,Alkanes
E7,K00108,pegA,D_PEG,Polymers
E7,K00154,alkH_ald,A_Auxiliar_alkane_gene,Alkanes
E7,K00154,dpgC,C_Toluene_degradation,Aromatics
E7,K00154,mdlD,C_Toluene_degradation,Aromatics
E7,K00219,abmA,C_Anthranilate_degradation,Aromatics
E7,K00382,xecC,B_Propene_degradation,Alkenes
E7,K00448,pcaG,C_Protocatechuate_degradation,Aromatics
E7,K00449,pcaH,C_Protocatechuate_degradation,Aromatics
E7,K00496,alkB,A_Terminal/biterminal_oxidation,Alkanes
E7,K00496,alkF_rubA_rdx,A_Terminal/biterminal_oxidation,Alkanes
E7,K00496,alkG_rubA3_rdx,A_Terminal/biterminal_oxidation,Alkanes
E7,K00496,alkMa,A_Finnerty_pathway,Alkanes
E7,K00496,alkMb,A_Finnerty_pathway,Alkanes
E7,K00496,xylM,C_Toluene_degradation,Aromatics
E7,K00496,xylM,C_Dimethylbenzene,Aromatics
E7,K00528,xamoF,B_Propene_degradation,Alkenes
E7,K00528,nagAa,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
E7,K00528,tphA1I,C_Terephthalate_degradation,Aromatics
E7,K00529,alkT_rubB_rdxR,A_Terminal/biterminal_oxidation,Alkanes
E7,K00529,prmB,A_Subterminal_oxidation,Alkanes
E7,K00529,bedA,C_Benzene_degradation,Aromatics
E7,K00529,bphAd,C_Biphenyl_degradation,Aromatics
E7,K00529,todA,C_Toluene_degradation,Aromatics
E7,K00549,etnE,B_Ethene_and_chloroethene_degradation,Alkenes
E7,K00549,xecA,B_Propene_degradation,Alkenes
E7,K00627,bphD,C_Biphenyl_degradation,Aromatics
E7,K00632,pcaF,C_Catechol_degradation,Aromatics
E7,K00632,pcaF,C_Protocatechuate_degradation,Aromatics
E7,K00645,ituD,E_Iturin,Biosurfactant
E7,K01032,pcaJ,C_Protocatechuate_degradation,Aromatics
E7,K01032,pcaJ,C_Catechol_degradation,Aromatics
E7,K01046,estA,D_PBAT,Polymers
E7,K01046,FB4_0780,D_PBAT,Polymers
E7,K01046,lip,D_PU,Polymers
E7,K01046,lip,D_PET,Polymers
E7,K01046,lipA,D_PET,Polymers
E7,K01046,lipA,D_PCL,Polymers
E7,K01046,lipA,D_PBSA,Polymers
E7,K01046,plaA,D_PLA,Polymers
E7,K01046,plaM4,D_PBS,Polymers
E7,K01046,plaM4,D_PES,Polymers
E7,K01046,plaM4,D_PHA,Polymers
E7,K01046,plaM4,D_PBSA,Polymers
E7,K01046,plaM4,D_PCL,Polymers
E7,K01046,plaM4,D_PHB,Polymers
E7,K01046,plaM4,D_PLA,Polymers
E7,K01046,plaM5,D_PLA,Polymers
E7,K01055,pcaD,C_Catechol_degradation,Aromatics
E7,K01055,pcaD,C_Protocatechuate_degradation,Aromatics
E7,K01061,phaZ,D_P4HB,Polymers
E7,K01061,phaZ,D_PEA,Polymers
E7,K01061,phaZ,D_P3HP,Polymers
E7,K01061,phaZ,D_PHBV,Polymers
E7,K01061,phaZ,D_PHO,Polymers
E7,K01061,phaZ,D_PPL,Polymers
E7,K01061,phaZ,D_PHB,Polymers
E7,K01061,phaZ,D_PHA,Polymers
E7,K01061,phaZ,D_PHPV,Polymers
E7,K01061,phaZ,D_PCL,Polymers
E7,K01061,phaZ,D_PES,Polymers
E7,K01426,NFA_28320,D_Nylon,Polymers
E7,K01426,nylA,D_Nylon,Polymers
E7,K01628,padC2,C_Phthalate_degradation,Aromatics
E7,K01649,xylK,C_Catechol_degradation,Aromatics
E7,K01856,catB,C_Catechol_degradation,Aromatics
E7,K01857,pcaB,C_Protocatechuate_degradation,Aromatics
E7,K01895,pqsA,C_Anthranilate_degradation,Aromatics
E7,K01912,paaK,C_Phenylacetate_degradation,Aromatics
E7,K02609,paaA,C_Phenylacetate_degradation,Aromatics
E7,K02610,paaB,C_Phenylacetate_degradation,Aromatics
E7,K02611,paaC,C_Phenylacetate_degradation,Aromatics
E7,K02612,paaD,C_Phenylacetate_degradation,Aromatics
E7,K02613,paaE,C_Phenylacetate_degradation,Aromatics
E7,K02660,alkN_mcp,A_Hydrocarbon_uptake,Alkanes
E7,K03098,blc,A_Hydrocarbon_uptake,Alkanes
E7,K03379,almA,A_Terminal/biterminal_oxidation,Alkanes
E7,K03379,BVMO,A_Subterminal_oxidation,Alkanes
E7,K03379,CHMO,A_Terminal/biterminal_oxidation,Alkanes
E7,K03381,catA,C_Catechol_degradation,Aromatics
E7,K03386,ahpC,A_Finnerty_pathway,Alkanes
E7,K03387,ahpF,A_Finnerty_pathway,Alkanes
E7,K03464,catC,C_Catechol_degradation,Aromatics
E7,K03599,nagL,C_Gentisate_degradation,Aromatics
E7,K03644,lipA,D_PET,Polymers
E7,K03644,lipA,D_PCL,Polymers
E7,K03644,lipA,D_PBSA,Polymers
