Sample,cpd,SMILES,ChEBI,compoundname,label_Avian,label_Biodegradation,label_Crustacean,label_Eye_Corrosion,label_Eye_Irritation,label_Fathead_Minnow,label_Genomic_AMES_Mutagenesis,label_Genomic_Carcinogenesis,label_Genomic_Micronucleus,label_Honey_Bee,label_Liver_Injury_I,label_Liver_Injury_II,label_NR_AR,label_NR_AR_LBD,label_NR_AhR,label_NR_Aromatase,label_NR_ER,label_NR_ER_LBD,label_NR_GR,label_NR_PPAR_gamma,label_NR_TR,label_Respiratory_Disease,label_SR_ARE,label_SR_ATAD5,label_SR_HSE,label_SR_MMP,label_SR_p53,label_Skin_Sensitisation,label_T._Pyriformis,label_hERG_II_Inhibitor,label_hERG_I_Inhibitor,value_Avian,value_Biodegradation,value_Crustacean,value_Eye_Corrosion,value_Eye_Irritation,value_Fathead_Minnow,value_Genomic_AMES_Mutagenesis,value_Genomic_Carcinogenesis,value_Genomic_Micronucleus,value_Honey_Bee,value_Liver_Injury_I,value_Liver_Injury_II,value_NR_AR,value_NR_AR_LBD,value_NR_AhR,value_NR_Aromatase,value_NR_ER,value_NR_ER_LBD,value_NR_GR,value_NR_PPAR_gamma,value_NR_TR,value_Respiratory_Disease,value_SR_ARE,value_SR_ATAD5,value_SR_HSE,value_SR_MMP,value_SR_p53,value_Skin_Sensitisation,value_T._Pyriformis,value_hERG_II_Inhibitor,value_hERG_I_Inhibitor
E7,C11906,O=[As][O-].[Na+],CHEBI:29678,Sodium arsenite,High Safety,High Safety,High Safety,Medium Toxicity,High Toxicity,Low Safety,Low Safety,High Safety,Low Toxicity,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Safety,Low Safety,High Safety,0.01,0.04,0.14,0.75,0.98,0.37,0.47,0.15,0.5,0.07,0.0,0.42,0.0,0.0,0.0,0.0,0.07,0.01,0.02,0.01,0.06,0.39,0.13,0.01,0.0,0.02,0.02,0.61,0.41,0.35,0.02
E7,C13884,[Sr+2],CHEBI:35104,Strontium cation,High Safety,High Safety,High Safety,Low Safety,High Toxicity,High Safety,High Safety,High Safety,Low Toxicity,High Toxicity,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Low Safety,Medium Toxicity,Medium Safety,High Safety,0.01,0.01,0.16,0.49,0.96,0.12,0.05,0.15,0.5,1.0,0.01,0.4,0.05,0.13,0.0,0.0,0.12,0.02,0.15,0.01,0.11,0.3,0.17,0.01,0.0,0.33,0.07,0.46,0.73,0.3,0.06
E7,C00084,[H]C(C)=O,CHEBI:15343,Acetaldehyde,High Safety,High Toxicity,High Safety,High Toxicity,High Toxicity,Medium Safety,High Safety,High Safety,Low Toxicity,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,High Safety,Medium Toxicity,Medium Toxicity,Medium Safety,High Safety,0.01,0.97,0.05,0.88,1.0,0.33,0.0,0.15,0.5,0.14,0.06,0.45,0.0,0.0,0.0,1.0,0.04,0.01,0.05,0.01,0.07,0.17,0.08,0.04,0.0,0.65,0.0,0.79,0.75,0.32,0.03
E7,C11146,[CH3][Hg][Cl],CHEBI:28216,Methylmercury chloride,High Safety,Low Safety,Medium Safety,High Toxicity,High Toxicity,Medium Safety,Medium Safety,High Safety,Low Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Toxicity,High Safety,Low Toxicity,Low Toxicity,Medium Safety,Low Safety,High Safety,0.01,0.42,0.2,0.9,0.98,0.3,0.26,0.15,0.5,0.62,0.0,0.4,0.0,0.0,0.0,0.0,0.07,0.01,0.07,0.01,0.06,0.48,0.11,0.02,1.0,0.04,0.51,0.56,0.31,0.47,0.03
E7,C00014,[H]N([H])[H],CHEBI:16134,Ammonia,High Safety,Medium Toxicity,Low Safety,Medium Toxicity,High Toxicity,High Safety,High Safety,High Safety,Low Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Low Safety,Medium Safety,High Safety,0.01,0.7,0.37,0.74,0.89,0.12,0.09,0.15,0.5,1.0,0.01,0.63,0.05,0.13,0.0,0.0,0.12,0.02,0.0,0.01,0.0,0.17,0.0,0.0,0.01,0.01,0.02,0.46,0.39,0.29,0.02
E7,C16038,Cn1c(N)nc2ncc(-c3ccccc3)cc21,CHEBI:76290,"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine",High Safety,High Safety,Low Toxicity,High Safety,Low Safety,Medium Toxicity,High Toxicity,High Safety,Low Toxicity,Medium Toxicity,Medium Toxicity,High Safety,High Safety,High Safety,High Toxicity,Medium Safety,Medium Safety,High Safety,High Safety,High Safety,Medium Safety,High Toxicity,Low Safety,Medium Safety,High Safety,High Safety,High Safety,Medium Toxicity,Medium Toxicity,Low Safety,High Safety,0.02,0.01,0.65,0.01,0.37,0.82,0.99,0.0,0.54,0.7,0.7,0.14,0.03,0.02,0.92,0.32,0.31,0.1,0.06,0.01,0.18,0.85,0.35,0.17,0.01,0.04,0.01,0.72,0.83,0.36,0.11
E7,C00088,O=N[O-],CHEBI:16301,Nitrite,High Safety,High Toxicity,Low Safety,Medium Toxicity,High Toxicity,Medium Safety,Medium Toxicity,High Safety,Low Toxicity,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Toxicity,Medium Safety,Medium Safety,High Safety,0.01,0.84,0.46,0.68,0.98,0.22,0.72,0.15,0.5,0.14,0.0,0.43,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.01,0.0,0.34,0.1,0.01,0.0,0.06,0.01,0.7,0.33,0.3,0.02
E7,C07313,CN(N=O)C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,CHEBI:9288,Streptozocin,High Safety,Low Safety,High Safety,High Safety,Medium Safety,Low Safety,High Toxicity,High Safety,Low Toxicity,Low Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,High Safety,High Safety,High Safety,High Safety,Medium Safety,Medium Toxicity,Low Toxicity,High Safety,High Safety,0.01,0.48,0.07,0.01,0.27,0.42,1.0,0.15,0.5,0.34,0.0,0.45,0.0,0.0,0.01,0.0,0.07,0.01,0.13,0.01,0.02,0.51,0.03,0.0,0.0,0.01,0.25,0.74,0.59,0.09,0.01
E7,C11687,C1CN1,CHEBI:30969,Aziridine,High Safety,Medium Toxicity,High Safety,Medium Toxicity,High Toxicity,High Safety,High Toxicity,High Safety,Low Toxicity,High Toxicity,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Low Safety,Low Safety,High Safety,0.01,0.82,0.15,0.76,0.89,0.04,1.0,0.15,0.5,1.0,0.0,0.31,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.01,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.45,0.4,0.34,0.09
E7,C00230,O=C(O)c1ccc(O)c(O)c1,CHEBI:36062,"3,4-Dihydroxybenzoate",High Safety,Medium Toxicity,High Safety,High Safety,High Toxicity,Low Toxicity,Medium Safety,High Safety,Low Toxicity,Low Safety,Medium Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Medium Toxicity,High Safety,High Safety,0.0,0.83,0.0,0.15,0.99,0.6,0.26,0.15,0.5,0.42,0.2,0.28,0.0,0.01,0.27,0.0,0.08,0.17,0.05,0.02,0.0,0.48,0.08,0.01,0.0,0.07,0.02,0.37,0.79,0.02,0.0
