Sample,Compound_Name,Group,Compound_Class,KO
BD48,"(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene",Group 1,Polyaromatic,K14581
BD48,"(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene",Group 1,Polyaromatic,K14581
BD48,"(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene",Group 1,Polyaromatic,K14581
BD48,"(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene",Group 1,Polyaromatic,K14581
BD48,"1,1,1-Trichloroethane",Group 1,Chlorinated,K16161
BD48,"1,1,1-Trichloroethane",Group 1,Chlorinated,K16161
BD48,"1,1,1-Trichloroethane",Group 1,Chlorinated,K16161
BD48,"1,1,1-Trichloroethane",Group 1,Chlorinated,K16161
BD48,"1,1,1-Trichloroethane",Group 1,Aliphatic,K16161
BD48,"1,1,1-Trichloroethane",Group 1,Aliphatic,K16161
BD48,"1,1,1-Trichloroethane",Group 1,Aliphatic,K16161
BD48,"1,1,1-Trichloroethane",Group 1,Aliphatic,K16161
BD48,"1,1,2,2-Tetrachloroethane",Group 1,Chlorinated,K04091
BD48,"1,1,2,2-Tetrachloroethane",Group 1,Chlorinated,K04091
BD48,"1,1,2,2-Tetrachloroethane",Group 1,Chlorinated,K04091
BD48,"1,1,2,2-Tetrachloroethane",Group 1,Chlorinated,K04091
BD48,"1,1,2,2-Tetrachloroethane",Group 1,Aliphatic,K04091
BD48,"1,1,2,2-Tetrachloroethane",Group 1,Aliphatic,K04091
BD48,"1,1,2,2-Tetrachloroethane",Group 1,Aliphatic,K04091
BD48,"1,1,2,2-Tetrachloroethane",Group 1,Aliphatic,K04091
BD48,"1,1,2,2-Tetrachloroethane",Group 1,Chlorinated,K15852
BD48,"1,1,2,2-Tetrachloroethane",Group 1,Chlorinated,K15852
BD48,"1,1,2,2-Tetrachloroethane",Group 1,Chlorinated,K15852
BD48,"1,1,2,2-Tetrachloroethane",Group 1,Chlorinated,K15852
BD48,"1,1,2,2-Tetrachloroethane",Group 1,Aliphatic,K15852
