Gene,Sample
ACADL,BD48
ACADL,BD54
ACADL,E7
ACADM,BD127
ACADM,BD139
ACADM,BD158
ACADM,BD163
ACADM,BD48
ACADM,BD54
ACADM,BD61
ACADM,E7
ACADS,BD117
ACADS,BD120
ACADS,BD126
ACADS,BD132
ACADS,BD139
ACADS,BD158
ACADS,BD160
ACADS,BD162
ACADS,BD163
ACADS,BD48
ACADS,BD50
ACADS,BD54
ACADS,BD61
ACADS,BD9
ACADS,BG1
ACADS,E7
AFMID,BD127
ALDH,BD117
ALDH,BD120
ALDH,BD126
ALDH,BD127
ALDH,BD132
ALDH,BD139
ALDH,BD158
ALDH,BD160
ALDH,BD162
ALDH,BD163
ALDH,BD48
ALDH,BD50
ALDH,BD54
ALDH,BD61
ALDH,BD9
ALDH,BG1
ALDH,E7
ALDO,BD61
AOC3,BD48
AOC3,BD54
AOC3,E7
APEH,BD120
APEH,BD126
APEH,BD132
APEH,BD139
APEH,BD160
APEH,BD162
APEH,BD163
APEH,BD50
APEH,BD9
APEH,BG1
ASRGL1,BD127
ASRGL1,BD61
ATP2C,BD120
ATP2C,BD126
ATP2C,BD127
ATP2C,BD132
ATP2C,BD139
ATP2C,BD160
ATP2C,BD162
ATP2C,BD163
ATP2C,BD50
ATP2C,BD9
ATP2C,BG1
ATPF1A,BD117
ATPF1A,BD120
ATPF1A,BD126
ATPF1A,BD127
ATPF1A,BD132
ATPF1A,BD139
ATPF1A,BD158
ATPF1A,BD160
ATPF1A,BD162
ATPF1A,BD163
ATPF1A,BD48
ATPF1A,BD50
ATPF1A,BD54
ATPF1A,BD61
ATPF1A,BD9
ATPF1A,BG1
ATPF1A,E7
ATPF1B,BD117
ATPF1B,BD120
ATPF1B,BD126
ATPF1B,BD127
ATPF1B,BD132
ATPF1B,BD139
ATPF1B,BD158
ATPF1B,BD160
ATPF1B,BD162
ATPF1B,BD163
ATPF1B,BD48
ATPF1B,BD50
ATPF1B,BD54
ATPF1B,BD61
ATPF1B,BD9
ATPF1B,BG1
ATPF1B,E7
BCP,BD117
BCP,BD120
BCP,BD126
BCP,BD127
BCP,BD132
BCP,BD139
BCP,BD158
BCP,BD160
BCP,BD162
BCP,BD163
BCP,BD48
BCP,BD50
BCP,BD54
BCP,BD61
BCP,BD9
BCP,BG1
BCP,E7
BDH,BD117
BDH,BD120
BDH,BD126
BDH,BD132
BDH,BD139
BDH,BD158
BDH,BD160
BDH,BD162
BDH,BD163
BDH,BD48
BDH,BD50
BDH,BD54
BDH,BD61
BDH,BD9
BDH,BG1
BDH,E7
BDH1,BD120
BDH1,BD126
BDH1,BD127
BDH1,BD139
BDH1,BD158
BDH1,BD162
BDH1,BD163
BDH1,BD48
BDH1,BD54
BDH1,BD61
BDH1,BD9
BDH1,BG1
BDH1,E7
BHMT,BD139
CARP,BD117
CARP,BD120
CARP,BD126
CARP,BD127
CARP,BD132
CARP,BD139
CARP,BD158
CARP,BD160
CARP,BD162
CARP,BD163
CARP,BD48
CARP,BD50
CARP,BD54
CARP,BD61
CARP,BD9
CARP,BG1
CARP,E7
CTH,BD117
DDAH,BD139
DDAH,BD61
DHFR,BD117
DHFR,BD120
DHFR,BD126
DHFR,BD127
DHFR,BD132
DHFR,BD139
DHFR,BD158
DHFR,BD160
DHFR,BD162
DHFR,BD163
DHFR,BD48
DHFR,BD50
DHFR,BD54
DHFR,BD61
DHFR,BD9
DHFR,BG1
DHFR,E7
DLD,BD117
DLD,BD120
DLD,BD126
DLD,BD127
DLD,BD132
DLD,BD139
DLD,BD158
DLD,BD160
DLD,BD162
DLD,BD163
DLD,BD48
DLD,BD50
DLD,BD54
DLD,BD61
DLD,BD9
DLD,BG1
DLD,E7
DPYS,BD139
DPYS,BD158
DPYS,BD163
DPYS,BD61
E1.1.1.1,BD117
E1.1.1.1,BD120
E1.1.1.1,BD126
E1.1.1.1,BD132
E1.1.1.1,BD139
E1.1.1.1,BD158
E1.1.1.1,BD160
E1.1.1.1,BD162
E1.1.1.1,BD163
E1.1.1.1,BD48
E1.1.1.1,BD50
E1.1.1.1,BD54
E1.1.1.1,BD61
E1.1.1.1,BD9
E1.1.1.1,BG1
E1.1.1.1,E7
E1.1.1.122,BD163
E1.1.1.122,BD61
E1.1.1.90,BD160
E1.1.1.91,BD127
E1.11.1.19,BD117
E1.13.12.4,BD139
E1.14.13.1,BD127
E1.14.13.1,BD61
E1.14.13.7,BD117
E1.14.13.7,BD158
E1.3.3.6,BD117
E1.4.1.4,BD117
E1.4.1.4,BD127
E1.4.1.4,BD132
E1.4.1.4,BD160
E1.4.1.4,BD163
E1.4.1.4,BD48
E1.4.1.4,BD50
E1.4.1.4,BD54
E1.4.1.4,BD61
E1.4.1.4,E7
E1.4.1.9,BD120
E1.4.1.9,BD126
E1.4.1.9,BD132
E1.4.1.9,BD139
E1.4.1.9,BD160
E1.4.1.9,BD162
E1.4.1.9,BD163
E1.4.1.9,BD50
E1.4.1.9,BD9
E1.4.1.9,BG1
E1.5.3.1,BD117
E1.5.3.1,BD139
E1.5.3.1,BD163
