Sample,Toxicity_Category,Compound_Name,Interaction_Count
BD117,Environmental,Ammonia,118
BD117,Environmental,Diuron,36
BD117,Environmental,Lead nitrate,30
BD117,Environmental,Methylmercury chloride,30
BD117,Environmental,Benzidine,24
BD117,Environmental,Acetaldehyde,21
BD117,Environmental,Carbon tetrachloride,20
BD117,Environmental,Copper,15
BD117,Environmental,Formaldehyde,15
BD117,Environmental,Chlorpyrifos,12
BD117,Environmental,Thioacetamide,12
BD117,Environmental,Tributyltin chloride,12
BD117,Environmental,Amsacrine,9
BD117,Environmental,Cadmium chloride,9
BD117,Environmental,Cypermethrin,9
BD117,Environmental,Nickel chloride,9
BD117,Environmental,Dibutyl phthalate,8
BD117,Environmental,Hydrochlorothiazide,8
BD117,Environmental,Mercuric chloride,8
BD117,Environmental,Phenylmercury acetate,8
BD117,Environmental,Streptozocin,8
BD117,Environmental,2-Chlorophenol,6
BD117,Environmental,"3,3'-Dimethoxybenzidine",6
BD117,Environmental,Chloramine,6
BD117,Environmental,Cyanide ion,6
BD117,Environmental,Dichlorvos,6
BD117,Environmental,Perfluorooctanesulfonic acid,6
BD117,Environmental,Catechol,5
BD117,Environmental,Lead,5
BD117,Environmental,"2,2',4,4',6,6'-Hexachlorobiphenyl",4
BD117,Environmental,"2,2',4,4'-Tetrachlorobiphenyl",4
BD117,Environmental,"2,2',5,5'-Tetrachlorobiphenyl",4
BD117,Environmental,"3,4,3',4'-Tetrachlorobiphenyl",4
BD117,Environmental,"3,4,5,3',4',5'-Hexachlorobiphenyl",4
BD117,Environmental,4-Nitrophenol,4
BD117,Environmental,Arsenic,4
BD117,Environmental,Aziridine,4
BD117,Environmental,Chloral hydrate,4
BD117,Environmental,Chloraminophenamide,4
BD117,Environmental,Chlorpyrifos-methyl,4
BD117,Environmental,Mercury(2+),4
BD117,Environmental,Methyl bromide,4
BD117,Environmental,Nitrite,4
BD117,Environmental,Nitromethane,4
BD117,Environmental,Phenacetin,4
BD117,Environmental,Phenol,4
BD117,Environmental,Phenylmethanesulfonyl fluoride,4
BD117,Environmental,Phthalate,4
BD117,Environmental,Simazine,4
BD117,Environmental,Tetranitromethane,4
BD117,Environmental,Zinc cation,4
BD117,Environmental,alpha-Chlorohydrin,4
BD117,Environmental,para-Aminoazobenzene,4
BD117,Environmental,4-Nonylphenol,3
BD117,Environmental,Danthron,3
BD117,Environmental,Dimethoate,3
BD117,Environmental,Nitrofen,3
BD117,Environmental,Pioglitazone,3
BD117,Environmental,Sulfasalazine,3
BD117,Environmental,Zalcitabine,3
BD117,Environmental,"1,4-Dioxane",2
BD117,Environmental,"2,6-Dimethylaniline",2
BD117,Environmental,2-Ethoxyethanol,2
BD117,Environmental,2-Nitropropane,2
BD117,Environmental,4-Cresol,2
BD117,Environmental,Acetamide,2
BD117,Environmental,Acrylamide,2
BD117,Environmental,Auramine,2
BD117,Environmental,Di-n-octyl phthalate,2
BD117,Environmental,Disperse Blue 1,2
BD117,Environmental,Ethanol,2
BD117,Environmental,Ethylene oxide,2
BD117,Environmental,Hg,2
BD117,Environmental,Hydrazine,2
BD117,Environmental,Methoxychlor,2
BD117,Environmental,Methyl isobutyl ketone,2
BD117,Environmental,Mitomycin,2
BD117,Environmental,Mitoxantrone,2
BD117,Environmental,N-Methyl-N'-nitro-N-nitrosoguanidine,2
BD117,Environmental,Nitrate,2
BD117,Environmental,Nitrogen mustard,2
BD117,Environmental,Thiocyanate,2
BD117,Environmental,Trinitrotoluene,2
BD117,Environmental,ortho-Toluidine,2
BD117,Environmental,3-Cresol,1
BD117,Environmental,Acetone,1
BD117,Environmental,CO,1
BD117,Environmental,Cobalt,1
BD117,Environmental,Ethyl acrylate,1
BD117,Environmental,Glycidaldehyde,1
BD117,Environmental,Methane,1
BD117,Environmental,Sodium fluoride,1
BD117,Environmental,Strontium cation,1
BD117,Environmental,Vinyl acetate,1
