sample,taxon,target_class,primary_dcpip_metric,unique_gene_count,unique_ko_count,unique_compound_count,evidence_rows,PL_mean,PP_mean,overall_mean,metal_authority,in_aliphatic_strict,in_polyaromatic_strict,low_gene_rank,low_dcpip_rank,negative_control_score
BD2,Staphylococcus,Aromatic,PP_mean,23,23,23,61,28.313333,11.99,22.872222,False,False,False,2.0,1.0,1.5
BD106,Stutzerimonas frequens,Aromatic,PP_mean,32,32,27,95,43.99,19.493333,31.741667,False,False,False,9.5,2.0,5.75
BD5,Dermacoccus nishinomiyaensis,Aromatic,PP_mean,26,26,15,64,67.105,47.27,57.1875,False,False,False,4.5,15.0,9.75
BD67,Ochrobactrum,Aromatic,PP_mean,33,33,29,99,56.5,39.363333,47.931667,False,False,False,11.5,11.0,11.25
BD108,Stutzerimonas balearica,Aromatic,PP_mean,35,35,29,104,60.52,33.64,47.08,False,False,False,15.0,8.0,11.5
BD161,Rossellomorea,Aromatic,PP_mean,33,33,31,99,32.665,47.571667,40.118333,False,False,False,11.5,16.0,13.75
BD141,Brevibacillus brevis,Aromatic,PP_mean,39,39,28,95,59.121667,31.445,45.283333,False,False,False,23.5,5.0,14.25
BD147,Cellulomonas,Aromatic,PP_mean,13,13,7,39,71.496667,63.041667,67.269167,False,False,False,1.0,32.0,16.5
BD83,Bacillus,Aromatic,PP_mean,41,41,32,243,49.168333,23.978333,36.573333,False,False,False,30.5,4.0,17.25
BD140,Brevibacillus brevis,Aromatic,PP_mean,39,39,28,95,59.243333,44.2775,51.760417,False,False,False,23.5,13.0,18.25
BD96,Stutzerimonas frequens,Aromatic,PP_mean,41,41,32,243,41.065,39.035,40.388333,False,False,False,30.5,9.0,19.75
BD126,Bacillus,Aromatic,PP_mean,41,41,39,127,60.261667,39.048333,49.655,True,False,False,30.5,10.0,20.25
BD8,Rothia,Aromatic,PP_mean,29,29,27,90,74.555,64.9,69.7275,False,False,False,6.0,35.0,20.5
BD127,Achromobacter,Aromatic,PP_mean,43,43,32,140,59.206667,22.225833,40.71625,True,True,False,38.5,3.0,20.75
BD137,Brevibacillus brevis,Aromatic,PP_mean,39,39,28,95,75.078333,50.448333,62.763333,False,False,False,23.5,19.0,21.25
BD101,Stutzerimonas balearica,Aromatic,PP_mean,41,41,32,243,58.198333,39.634167,48.91625,False,False,False,30.5,12.0,21.25
BD158,Salinicola,Aromatic,PP_mean,35,35,24,91,66.925,58.537167,62.731083,True,False,True,15.0,29.0,22.0
AP1BH01-1,Ochrobactrum,Aromatic,PP_mean,39,39,33,121,74.116667,52.038333,63.0775,False,False,False,23.5,21.0,22.25
BD95,Stutzerimonas frequens,Aromatic,PP_mean,41,41,32,243,36.696667,45.26,39.551111,False,False,False,30.5,14.0,22.25
BD151,Bacillus,Aromatic,PP_mean,31,31,24,82,78.438333,67.093333,72.765833,False,False,False,7.5,37.5,22.5
BD152,Bacillus,Aromatic,PP_mean,31,31,24,82,78.868333,67.093333,72.980833,False,False,False,7.5,37.5,22.5
BD105,Stutzerimonas frequens,Aromatic,PP_mean,32,32,27,95,82.04,67.845,74.9425,False,False,False,9.5,39.0,24.25
BD77,Stutzerimonas balearica,Aromatic,PP_mean,41,41,32,243,66.703333,49.876667,58.29,False,False,False,30.5,18.0,24.25
BD121,Bacillus paralicheniformis,Aromatic,PP_mean,44,44,39,136,51.116667,33.193333,42.155,False,False,False,43.5,6.0,24.75
BD139,Brevibacillus brevis,Aromatic,PP_mean,39,39,28,95,53.068333,56.67,54.869167,True,False,False,23.5,27.0,25.25
BD117,Micococcus luteus,Aromatic,PP_mean,24,24,22,76,79.18,76.653333,77.916667,True,True,True,3.0,48.0,25.5
BD143,Bacillus stratosphericus,Aromatic,PP_mean,38,38,36,104,63.146667,63.828333,63.4875,False,False,False,19.0,34.0,26.5
BD1,Micococcus luteus,Aromatic,PP_mean,26,26,15,64,78.843333,78.623333,78.733333,False,False,False,4.5,49.0,26.75
BD48,Bacillus safensis,Aromatic,PP_mean,45,45,31,259,49.901667,33.371667,41.636667,True,False,False,47.0,7.0,27.0
BD61,Ochrobactrum,Aromatic,PP_mean,39,39,33,121,81.595,59.635,70.615,True,False,True,23.5,31.0,27.25
BD81,Bacillus,Aromatic,PP_mean,41,41,39,127,70.241667,54.409167,62.325417,False,False,False,30.5,24.0,27.25
BD9,Bacillus amyloliquefaciens,Aromatic,PP_mean,43,43,39,132,61.633333,48.266667,54.95,True,False,False,38.5,17.0,27.75
BD50,Bacillus safensis,Aromatic,PP_mean,35,35,35,100,76.326667,70.641667,73.484167,True,False,False,15.0,41.0,28.0
BD107,Stutzerimonas balearica,Aromatic,PP_mean,35,35,29,104,82.665,74.113333,78.389167,False,False,False,15.0,43.0,29.0
BD145,Tistrella,Aromatic,PP_mean,42,42,33,135,54.173333,55.903333,55.038333,False,False,False,35.0,25.0,30.0
BD149,Bacillus stratosphericus,Aromatic,PP_mean,38,38,36,104,81.365,72.403333,76.884167,False,False,False,19.0,42.0,30.5
CB13,Enterobacter,Aromatic,PP_mean,43,43,26,93,76.581667,56.1,66.340833,False,False,False,38.5,26.0,32.25
BD132,Bacillus safensis,Aromatic,PP_mean,35,35,35,100,82.385,81.658333,82.021667,True,False,False,15.0,50.0,32.5
BD129,Bacillus paralicheniformis,Aromatic,PP_mean,44,44,39,136,70.841667,52.22,61.530833,False,False,False,43.5,22.0,32.75
BD160,Bacillus stratosphericus,Aromatic,PP_mean,38,38,36,104,79.013333,75.588333,77.300833,True,False,False,19.0,47.0,33.0
BD69,Citrobacter,Aromatic,PP_mean,46,46,30,142,73.208333,51.861667,62.535,False,False,False,50.0,20.0,35.0
BD73,Bacillus tropicus,Aromatic,PP_mean,46,46,38,117,76.573333,53.666667,65.12,False,False,False,50.0,23.0,36.5
E7,Acinetobacter,Aromatic,PP_mean,45,45,31,259,82.906667,56.771667,69.839167,True,True,False,47.0,28.0,37.5
BD163,Bacillus megaterium,Aromatic,PP_mean,44,44,37,145,64.050833,63.431667,63.74125,True,True,False,43.5,33.0,38.25
BD165,Bacillus paralicheniformis,Aromatic,PP_mean,44,44,39,136,50.71,65.803333,58.256667,False,False,False,43.5,36.0,39.75
BD72,Bacillus tropicus,Aromatic,PP_mean,46,46,38,117,72.978333,58.686667,65.8325,False,False,False,50.0,30.0,40.0
BD120,Bacillus subtilis,Aromatic,PP_mean,41,41,39,127,83.971667,81.81,82.890833,True,False,True,30.5,51.0,40.75
BD162,Bacillus safensis,Aromatic,PP_mean,43,43,39,132,63.493333,74.49,68.991667,True,False,False,38.5,44.0,41.25
BD166,Bacillus megaterium,Aromatic,PP_mean,43,43,37,137,60.44,74.846667,67.643333,False,False,False,38.5,45.0,41.75
BG1,Bacillus amyloliquefaciens,Aromatic,PP_mean,43,43,39,132,77.563333,75.416667,76.49,True,False,False,38.5,46.0,42.25
BD54,Acinetobacter,Aromatic,PP_mean,45,45,31,259,82.225,69.691667,75.958333,True,False,False,47.0,40.0,43.5
