sample,taxon,aliphatic_gene_count,aromatic_gene_count,aliphatic_low_gene_rank,aromatic_low_gene_rank,PL_mean,PP_mean,overall_mean,combined_negative_control_score,metal_authority,in_any_strict_consortium
BD2,Staphylococcus,35,23,2.0,2.0,28.313333,11.99,22.872222,1.5,False,False
BD161,Rossellomorea,50,33,11.0,11.5,32.665,47.571667,40.118333,10.125,False,False
BD5,Dermacoccus nishinomiyaensis,38,26,3.5,4.5,67.105,47.27,57.1875,12.25,False,False
BD106,Stutzerimonas frequens,58,32,35.0,9.5,43.99,19.493333,31.741667,12.875,False,False
BD83,Bacillus,51,41,16.5,30.5,49.168333,23.978333,36.573333,14.25,False,False
BD67,Ochrobactrum,52,33,23.5,11.5,56.5,39.363333,47.931667,14.5,False,False
BD108,Stutzerimonas balearica,51,35,16.5,15.0,60.52,33.64,47.08,14.625,False,False
BD96,Stutzerimonas frequens,51,41,16.5,30.5,41.065,39.035,40.388333,15.0,False,False
BD147,Cellulomonas,16,13,1.0,1.0,71.496667,63.041667,67.269167,15.75,False,False
BD95,Stutzerimonas frequens,51,41,16.5,30.5,36.696667,45.26,39.551111,16.0,False,False
BD101,Stutzerimonas balearica,51,41,16.5,30.5,58.198333,39.634167,48.91625,18.0,False,False
BD8,Rothia,39,29,5.5,6.0,74.555,64.9,69.7275,19.875,False,False
BD121,Bacillus paralicheniformis,52,44,23.5,43.5,51.116667,33.193333,42.155,20.5,False,False
BD126,Bacillus,53,41,28.5,30.5,60.261667,39.048333,49.655,21.5,True,False
BD141,Brevibacillus brevis,62,39,45.5,23.5,59.121667,31.445,45.283333,22.0,False,False
BD127,Achromobacter,56,43,32.0,38.5,59.206667,22.225833,40.71625,22.125,True,True
BD77,Stutzerimonas balearica,51,41,16.5,30.5,66.703333,49.876667,58.29,22.25,False,False
BD143,Bacillus stratosphericus,51,38,16.5,19.0,63.146667,63.828333,63.4875,22.625,False,False
BD151,Bacillus,45,31,7.5,7.5,78.438333,67.093333,72.765833,22.875,False,False
BD152,Bacillus,45,31,7.5,7.5,78.868333,67.093333,72.980833,23.375,False,False
BD1,Micococcus luteus,38,26,3.5,4.5,78.843333,78.623333,78.733333,24.25,False,False
BD140,Brevibacillus brevis,62,39,45.5,23.5,59.243333,44.2775,51.760417,24.5,False,False
BD117,Micococcus luteus,39,24,5.5,3.0,79.18,76.653333,77.916667,24.875,True,True
BD50,Bacillus safensis,48,35,9.5,15.0,76.326667,70.641667,73.484167,25.125,True,False
BD48,Bacillus safensis,60,45,42.0,47.0,49.901667,33.371667,41.636667,25.75,True,False
BD158,Salinicola,58,35,35.0,15.0,66.925,58.537167,62.731083,26.0,True,True
BD9,Bacillus amyloliquefaciens,53,43,28.5,38.5,61.633333,48.266667,54.95,26.0,True,False
BD139,Brevibacillus brevis,62,39,45.5,23.5,53.068333,56.67,54.869167,26.5,True,False
BD81,Bacillus,53,41,28.5,30.5,70.241667,54.409167,62.325417,27.5,False,False
BD165,Bacillus paralicheniformis,52,44,23.5,43.5,50.71,65.803333,58.256667,27.75,False,False
AP1BH01-1,Ochrobactrum,59,39,39.0,23.5,74.116667,52.038333,63.0775,28.875,False,False
BD129,Bacillus paralicheniformis,52,44,23.5,43.5,70.841667,52.22,61.530833,29.25,False,False
BD149,Bacillus stratosphericus,51,38,16.5,19.0,81.365,72.403333,76.884167,30.375,False,False
BD137,Brevibacillus brevis,62,39,45.5,23.5,75.078333,50.448333,62.763333,30.5,False,False
BD145,Tistrella,71,42,51.0,35.0,54.173333,55.903333,55.038333,30.5,False,False
BD132,Bacillus safensis,48,35,9.5,15.0,82.385,81.658333,82.021667,30.625,True,False
BD107,Stutzerimonas balearica,51,35,16.5,15.0,82.665,74.113333,78.389167,30.875,False,False
BD160,Bacillus stratosphericus,51,38,16.5,19.0,79.013333,75.588333,77.300833,31.125,True,False
BD105,Stutzerimonas frequens,58,32,35.0,9.5,82.04,67.845,74.9425,32.375,False,False
BD162,Bacillus safensis,53,43,28.5,38.5,63.493333,74.49,68.991667,33.25,True,False
BD61,Ochrobactrum,59,39,39.0,23.5,81.595,59.635,70.615,34.625,True,True
CB13,Enterobacter,59,43,39.0,38.5,76.581667,56.1,66.340833,35.125,False,False
BD73,Bacillus tropicus,58,46,35.0,50.0,76.573333,53.666667,65.12,36.0,False,False
BD72,Bacillus tropicus,58,46,35.0,50.0,72.978333,58.686667,65.8325,36.25,False,False
BD163,Bacillus megaterium,64,44,49.0,43.5,64.050833,63.431667,63.74125,37.125,True,True
BD69,Citrobacter,64,46,49.0,50.0,73.208333,51.861667,62.535,37.5,False,False
BD166,Bacillus megaterium,64,43,49.0,38.5,60.44,74.846667,67.643333,37.625,False,False
BG1,Bacillus amyloliquefaciens,53,43,28.5,38.5,77.563333,75.416667,76.49,37.75,True,False
BD120,Bacillus subtilis,53,41,28.5,30.5,83.971667,81.81,82.890833,40.25,True,True
E7,Acinetobacter,60,45,42.0,47.0,82.906667,56.771667,69.839167,41.75,True,True
BD54,Acinetobacter,60,45,42.0,47.0,82.225,69.691667,75.958333,44.0,True,False
